Vendor, Service, Port, Protocol
3gpp, GTP (GPRS TUnneling Protocol), Control Plane, IANA,2123,6
3gpp, GTP (GPRS TUnneling Protocol), Control Plane, IANA,2123,17
3gpp, GTP (GPRS TUnneling Protocol), User Plane, IANA,2152,6
3gpp, GTP (GPRS TUnneling Protocol), User Plane, IANA,2123,17
ASHRAE,BACNet,,GitHub,47808,17
Aspentech,Cim/IO,PI3,SG,5450,6
Aspentech,Cim/IO,PI3,SG,5450,17
Aspentech,Cim/IO,PI2,SG,545,6
Atlas Copco,Atlas Copco Open Protocol,4545,6
Bittorrent,Bittorrent, Bittorrent traffic,6881-6889,6
Bittorrent,Bittorrent, Bittorrent traffic,6881-6889,17
Bittorrent,Bittorrent, Bittorrent traffic,6881-6889,21
Bittorrent,Bittorrent, Bittorrent tracker,6969,6
Bristol,BSAP,1234,17
Bristol,BSAP/IP,1234,17
CC-Link, CC-LINK IE Field, 61450, 17
CC-Link, CC-LINK IE Field, 61450, 17
CEI,CEI 79-5/2-3,alarm?,,,
Cisco,CDP,,wikipedia,4224,6
Cisco,HSRP,,wikipedia,1985,17
,,,,,
,,,,,
Protocol,,,,,
